url,input_tag,input_tag_value,src_link,form_handler,form_handler_value,invisible_iframe,invisible_iframe_value,rewrite_statusbar,disable_rightclick,ahref_link,popup_window,popup_window_value,favicon_link,old_technologies,missleading_link,missleading_link_value,hostname_title
"https://mdashfaqurrahman.github.io/FrontEnd-Facebook",1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"http://stephanehamard.com/components/com_joomlastats/FR/d0d169499e955d89b87e2159b69d12c3/",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"http://rcssa.org/rep/report",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"http://theworldofgreatideas.ml/DHL/egety.php?email=jspharm1@taiguk.co.kr",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"http://stephanehamard.com/components/com_joomlastats/FR/34b9fa601f58a1daf5c93de6c914e017/",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"http://d43d3der.win/directing/desjardins/identifiantunique/index2.php",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"http://d43d3der.win/directing/desjardins/identifiantunique/indentification.php",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"http://lojahhome.com.br/regm/regm/mnn.html",0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"https://audit-annuel2019.ddns.net/pottor/cazon/d8034",1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"http://checkforupdate019.weebly.com/",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"http://colegiomoura.com.br/comunicados_arq/my.dhl-com",1,4,0.5,0,0,0,0,0,0,0,0,0,1,1,0,0,1
"http://d43d3der.win/directing/desjardins/identifiantunique",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"http://mueblesdeliquidacion.es/galeria/outlook.live.com/account.microsoft.com/",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"http://cemad.org/web/wp-includes/js/eim/",1,2,0,0,0,0,0,0,0,0.054945054945054944,0,0,0,1,1,5,1
"http://lojahhome.com.br/regm/regm/cgi-bin.htm",0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"http://www.monaccordeurguitare.com/wp-content/uploads/2017/07/Customer/372171e8e051a53994965013d10df031/",1,1,1,0,0,0,0,0,0,0.6666666666666666,0,0,1,1,1,1,1
"https://13216415645164easye13.blob.core.windows.net/ow13/update13.html",1,4,1,0,0,1,1,0,0,0.5,0,0,1,1,0,0,1
"http://lemion.com/2017/login.jsp-1.htm",1,5,0.6666666666666666,0,0,0,0,0,0,0.7924528301886793,0,0,0,1,1,30,1
"http://animalwelfareinc.org/wp-content/themes/ado/adobelatest/adbx/home/index.php",1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"https://www.paypal.com.myhr.app.aruntest.shnpoc.net/authflow/unsupported-browser/''''/signin",1,16,0.4444444444444444,0,0,0,0,0,0,0,0,0,1,1,0,0,1
"http://lojahhome.com.br/regm/regm/SignIn.html",0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"http://www.captionmusic.com/vendor/fzaninotto/faker/11U00c3/5ebbdd3eed10870a984297c5f02a2bae/login.php",1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"https://dhjhs.co.kr/Primabanka.html",1,11,0,0,0,0,0,0,0,0.8695652173913043,0,0,1,1,1,1,1
"https://audit-annuel2019.ddns.net/pottor/cazon/487d4",1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"http://nocturnalarchitecture.com/files/Login.htm",0,0,0.42857142857142855,0,0,0,0,0,0,1,0,0,1,1,1,34,1
"https://peanutiks.gq/Auto/ourtime%202019",1,5,1,0,0,0,0,0,0,0.5,0,0,1,1,1,6,1
"http://www.nutriamine.com/ppl/customer_center/Secure311/myaccount/signin/",1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"https://godmarkfannyuy.com/wp-includes/ch2/home/4b6b04eaae5315ffc4b95864e653ad6a?cmd=login_submit&id=technical-support-department%2Faccount%2Fservice",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
"https://lighthousecommunity.co.uk/cgi/check/",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"http://site.indice.in/wp-includes/fonts/PPL8327489723483329/hardsucces/30d733756335fad4d7a56e6438089986/Up-dating.php",1,4,0.5,0,0,0,0,0,0,0.14285714285714285,0,0,0,1,1,1,1
"http://hanleetech.com/bbs/bbs/SERVICE/XFINITY.htm",1,28,0.9090909090909091,0,0,0,0,0,0,1,0,0,0,1,1,2,1
"https://surveys.att-mail.com/survey/selfserve/5fd/att19001/ATT_Invite_Spanish_Q1_2019.html?source=KGrFeGTIl4&email=greg.cooper@swgas.com&s=81132161QW&dt=20190809",0,0,0,0,0,0,0,0,0,0.6666666666666666,0,0,0,1,0,0,1
"https://globosolucoes.com/wp-includes/compressr/trackback/home/23372f89f413e15074373ac98503a45c?cmd=login_submit&id=technical-support-department%2Faccount%2Fservice",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
"http://leesangku.com/pruboard/technote/board/gener/sg/7d3ab490fd89a3117b09b21f57b98038",1,10,0.9736842105263158,0,0,0,0,0,0,0.01818181818181818,1,3,0,1,0,0,1
"http://leesangku.com/pruboard/technote/board/gener/sg/a4202cca087895b5996be8a12ac4c728",1,10,0.9736842105263158,0,0,0,0,0,0,0.01818181818181818,1,3,0,1,0,0,1
"http://leesangku.com/pruboard/technote/board/gener/sg/eacdeb9c71f3f9a63772e143727596d0",1,10,0.9736842105263158,0,0,0,0,0,0,0.01818181818181818,1,3,0,1,0,0,1
"http://posiness.com/Daum_files/ps/Login.htm",0,0,0.42857142857142855,0,0,0,0,0,0,1,0,0,1,1,1,34,1
"http://unlock-serviceid134234324132.000webhostapp.com/Account/index.php",0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1
"http://www.toptanucuzgiyim.com/wp-content/ye/31ef445a03e2201c3e9341a68f62b242/",1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"http://yamato-yo.com/mei.html",1,10,0,0,0,0,0,0,0,0.16,0,0,1,1,1,4,1
"http://brazandbraz.com/apple/1/Apple/update_info/websc-billing.php",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"http://silvercodexing.000webhostapp.com/fake/Fake%20page!/index2.html",0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1
"http://safety00.000webhostapp.com/new_now/site/index.html",1,5,0.1,0,1,0,0,0,0,0.16666666666666666,0,0,0,1,0,0,1
